Date Column,Crop Name,Min Price,Max Price
7/20/2024,Capsicum,,
7/19/2024,Capsicum,660,730
7/18/2024,Capsicum,680,730
7/17/2024,Capsicum,600,700
7/16/2024,Capsicum,650,730
7/15/2024,Capsicum,650,700
7/14/2024,Capsicum,650,700
7/13/2024,Capsicum,600,650
7/12/2024,Capsicum,600,650
7/11/2024,Capsicum,600,680
7/10/2024,Capsicum,600,650
7/9/2024,Capsicum,600,650
7/8/2024,Capsicum,650,700
7/7/2024,Capsicum,600,680
7/6/2024,Capsicum,580,650
7/5/2024,Capsicum,600,650
7/4/2024,Capsicum,550,600
7/3/2024,Capsicum,600,650
7/2/2024,Capsicum,550,620
7/1/2024,Capsicum,500,650
6/30/2024,Capsicum,600,650
6/29/2024,Capsicum,580,640
6/28/2024,Capsicum,600,650
6/27/2024,Capsicum,580,650
6/26/2024,Capsicum,550,650
6/25/2024,Capsicum,580,630
6/24/2024,Capsicum,600,630
6/23/2024,Capsicum,450,550
6/22/2024,Capsicum,580,630
6/21/2024,Capsicum,,
6/20/2024,Capsicum,500,600
6/19/2024,Capsicum,480,550
6/18/2024,Capsicum,450,600
6/17/2024,Capsicum,550,580
6/16/2024,Capsicum,485,580
6/15/2024,Capsicum,400,450
6/14/2024,Capsicum,400,450
6/13/2024,Capsicum,360,400
6/12/2024,Capsicum,400,480
6/11/2024,Capsicum,450,520
6/10/2024,Capsicum,450,500
6/9/2024,Capsicum,400,450
6/8/2024,Capsicum,450,520
6/7/2024,Capsicum,480,550
6/6/2024,Capsicum,390,450
6/5/2024,Capsicum,390,420
6/4/2024,Capsicum,380,420
6/3/2024,Capsicum,280,400
6/2/2024,Capsicum,280,400
6/1/2024,Capsicum,300,380
5/31/2024,Capsicum,300,350
5/30/2024,Capsicum,180,250
5/29/2024,Capsicum,200,250
5/28/2024,Capsicum,200,250
5/27/2024,Capsicum,160,220
5/26/2024,Capsicum,180,230
5/25/2024,Capsicum,160,200
5/24/2024,Capsicum,,
5/23/2024,Capsicum,,
5/22/2024,Capsicum,130,220
5/21/2024,Capsicum,150,180
5/20/2024,Capsicum,130,160
5/19/2024,Capsicum,130,150
5/18/2024,Capsicum,120,150
5/17/2024,Capsicum,120,150
5/16/2024,Capsicum,120,160
5/15/2024,Capsicum,130,150
5/14/2024,Capsicum,120,160
5/13/2024,Capsicum,120,150
5/12/2024,Capsicum,140,180
5/11/2024,Capsicum,120,180
5/10/2024,Capsicum,100,180
5/9/2024,Capsicum,130,160
5/8/2024,Capsicum,120,200
5/7/2024,Capsicum,100,160
5/6/2024,Capsicum,100,140
5/5/2024,Capsicum,120,170
5/4/2024,Capsicum,130,180
5/3/2024,Capsicum,140,180
5/2/2024,Capsicum,,
5/1/2024,Capsicum,150,200
4/30/2024,Capsicum,140,220
4/29/2024,Capsicum,140,200
4/28/2024,Capsicum,150,220
4/27/2024,Capsicum,150,200
4/26/2024,Capsicum,150,200
4/25/2024,Capsicum,150,220
4/24/2024,Capsicum,150,200
4/23/2024,Capsicum,,
4/22/2024,Capsicum,160,200
4/21/2024,Capsicum,200,280
4/20/2024,Capsicum,250,300
4/19/2024,Capsicum,250,350
4/18/2024,Capsicum,250,400
4/17/2024,Capsicum,300,350
4/16/2024,Capsicum,260,300
4/15/2024,Capsicum,,
4/14/2024,Capsicum,,
4/13/2024,Capsicum,,
4/12/2024,Capsicum,,
4/11/2024,Capsicum,300,400
4/10/2024,Capsicum,300,380
4/9/2024,Capsicum,350,420
4/8/2024,Capsicum,300,400
4/7/2024,Capsicum,350,430
4/6/2024,Capsicum,300,350
4/5/2024,Capsicum,250,300
4/4/2024,Capsicum,200,300
4/3/2024,Capsicum,200,300
4/2/2024,Capsicum,250,350
4/1/2024,Capsicum,200,330
3/31/2024,Capsicum,250,350
3/30/2024,Capsicum,200,300
3/29/2024,Capsicum,250,300
3/28/2024,Capsicum,250,300
3/27/2024,Capsicum,250,300
3/26/2024,Capsicum,250,350
3/25/2024,Capsicum,300,400
3/24/2024,Capsicum,,
3/23/2024,Capsicum,350,450
3/22/2024,Capsicum,400,550
3/21/2024,Capsicum,400,520
3/20/2024,Capsicum,350,480
3/19/2024,Capsicum,350,550
3/18/2024,Capsicum,400,550
3/17/2024,Capsicum,350,500
3/16/2024,Capsicum,350,500
3/15/2024,Capsicum,400,500
3/14/2024,Capsicum,450,600
3/13/2024,Capsicum,400,550
3/12/2024,Capsicum,480,550
3/11/2024,Capsicum,350,450
3/10/2024,Capsicum,300,400
3/9/2024,Capsicum,300,400
3/8/2024,Capsicum,250,300
3/7/2024,Capsicum,250,400
3/6/2024,Capsicum,300,400
3/5/2024,Capsicum,200,220
3/4/2024,Capsicum,250,300
3/3/2024,Capsicum,250,300
3/2/2024,Capsicum,250,300
3/1/2024,Capsicum,350,400
2/29/2024,Capsicum,350,400
2/28/2024,Capsicum,300,400
2/27/2024,Capsicum,,
2/26/2024,Capsicum,350,450
2/25/2024,Capsicum,450,550
2/24/2024,Capsicum,500,600
2/23/2024,Capsicum,,
2/22/2024,Capsicum,550,650
2/21/2024,Capsicum,500,550
2/20/2024,Capsicum,500,600
2/19/2024,Capsicum,500,600
2/18/2024,Capsicum,600,650
2/17/2024,Capsicum,600,700
2/16/2024,Capsicum,550,650
2/15/2024,Capsicum,600,700
2/14/2024,Capsicum,650,800
2/13/2024,Capsicum,600,700
2/12/2024,Capsicum,700,800
2/11/2024,Capsicum,800,900
2/10/2024,Capsicum,700,850
2/9/2024,Capsicum,700,850
2/8/2024,Capsicum,900,950
2/7/2024,Capsicum,850,1000
2/6/2024,Capsicum,850,900
2/5/2024,Capsicum,900,1000
2/4/2024,Capsicum,800,900
2/3/2024,Capsicum,900,1000
2/2/2024,Capsicum,850,950
2/1/2024,Capsicum,850,1000
1/31/2024,Capsicum,900,1000
1/30/2024,Capsicum,900,1100
1/29/2024,Capsicum,900,1050
1/28/2024,Capsicum,900,1000
1/27/2024,Capsicum,900,1100
1/26/2024,Capsicum,650,850
1/25/2024,Capsicum,,
1/24/2024,Capsicum,700,900
1/23/2024,Capsicum,700,850
1/22/2024,Capsicum,750,850
1/21/2024,Capsicum,650,750
1/20/2024,Capsicum,650,750
1/19/2024,Capsicum,800,900
1/18/2024,Capsicum,800,850
1/17/2024,Capsicum,780,850
1/16/2024,Capsicum,650,780
1/15/2024,Capsicum,650,750
1/14/2024,Capsicum,650,750
1/13/2024,Capsicum,600,650
1/12/2024,Capsicum,600,650
1/11/2024,Capsicum,600,680
1/10/2024,Capsicum,600,650
1/9/2024,Capsicum,550,650
1/8/2024,Capsicum,600,700
1/7/2024,Capsicum,550,650
1/6/2024,Capsicum,550,650
